location,bhk,total_sqft,bath,price,sqft_per_bedroom
Sarjapura - Attibele Road,3,1330.0,2.0,48.0,443.3333333333333
Devasthanagalu,2,1200.0,2.0,65.0,600.0
T Dasarahalli,3,1200.0,3.0,90.0,400.0
Yeshwanthpur,3,2502.0,3.0,138.0,834.0
Chandapura,2,650.0,1.0,17.0,325.0
Kothanur,3,2400.0,2.0,150.0,800.0
Green View Layout,2,1007.0,2.0,43.0,503.5
Shantiniketan Layout,2,1200.0,2.0,50.0,600.0
Peenya,2,966.0,2.0,49.9,483.0
Nagarbhavi,3,1630.0,2.0,98.0,543.3333333333334
Rajaji Nagar,3,1640.0,3.0,229.0,546.6666666666666
Jalahalli West,2,782.0,2.0,55.68,391.0
Devanahalli,2,1260.0,2.0,66.78,630.0
Lakshmiamma Garden,3,1800.0,3.0,120.0,600.0
Byatarayanapura,3,1413.0,2.0,75.0,471.0
Whitefield,2,1116.0,2.0,51.91,558.0
Electronic City,3,1530.0,2.0,45.9,510.0
Ramamurthy Nagar,4,3700.0,4.0,225.0,925.0
Sarjapur  Road,3,2497.0,3.0,140.0,832.3333333333334
Kengeri,3,1540.0,2.0,64.0,513.3333333333334
Thanisandra,3,1436.0,3.0,74.75,478.6666666666667
Malleshwaram,2,1100.0,2.0,75.0,550.0
Hennur Road,2,276.0,3.0,23.0,138.0
Thanisandra,3,1427.0,3.0,120.0,475.6666666666667
Akshaya Nagar,3,2061.0,3.0,200.0,687.0
Hebbal,4,5611.5,4.0,477.0,1402.875
Shampura,4,2650.0,4.0,150.0,662.5
Devanahalli,3,1282.0,2.0,68.52,427.3333333333333
Kadugodi,2,1050.0,2.0,34.0,525.0
LB Shastri Nagar,3,1600.0,3.0,65.0,533.3333333333334
Vajarahalli,2,945.0,2.0,54.0,472.5
Hormavu,2,1500.0,2.0,78.0,750.0
Vishwapriya Layout,7,950.0,7.0,115.0,135.71428571428572
Peenya,3,1870.0,3.0,110.0,623.3333333333334
Sarjapur,3,1600.0,3.0,75.0,533.3333333333334
Electronic City,2,880.0,1.0,16.5,440.0
Ramaswamy Palya - Kammanahalli Main Road,4,1200.0,4.0,210.0,300.0
Kudlu Gate,3,1535.0,3.0,83.0,511.6666666666667
Kanakpura Road,2,950.0,2.0,57.0,475.0
Devanahalli,2,1360.0,2.0,65.0,680.0
8th Phase JP Nagar,2,1073.5,2.0,54.005,536.75
Bommasandra Industrial Area,3,1280.0,3.0,50.4,426.6666666666667
Chandra Layout,3,1260.0,2.0,85.05,420.0
Hennur Road,8,5000.0,8.0,250.0,625.0
Yelahanka,5,3050.0,5.0,213.0,610.0
Kasavanhalli,3,1563.05,3.0,105.0,521.0166666666667
ISRO Layout,2,1000.0,2.0,60.0,500.0
Anandapura,2,1167.0,2.0,43.76,583.5
Vishveshwarya Layout,7,4000.0,7.0,225.0,571.4285714285714
Kothanur,3,1828.0,3.0,110.0,609.3333333333334
Kengeri Satellite Town,2,890.0,2.0,35.0,445.0
Basavanapura,3,1612.0,3.0,46.74,537.3333333333334
Dinnur,6,1034.0,5.0,185.0,172.33333333333334
Mysore Road,3,1710.0,4.0,91.31,570.0
Kannamangala,2,957.0,2.0,58.0,478.5
 Devarachikkanahalli,3,1250.0,2.0,44.0,416.6666666666667
Sanjeevini Nagar,3,2795.0,4.0,235.0,931.6666666666666
Hulimavu,2,1125.0,2.0,50.0,562.5
Electronic City Phase II,2,1020.0,2.0,30.6,510.0
Kalena Agrahara,2,1200.0,2.0,50.0,600.0
Thanisandra,3,1735.0,3.0,135.0,578.3333333333334
Thanisandra,3,2050.0,3.0,145.0,683.3333333333334
Mahalakshmi Layout,4,3750.0,4.0,760.0,937.5
Yarandahalli,3,1350.0,2.0,48.0,450.0
Hosa Road,2,1063.0,2.0,32.0,531.5
Keshava Nagar,3,1904.0,3.0,150.0,634.6666666666666
Whitefield,4,4200.0,4.0,420.0,1050.0
RMV Extension,3,2000.0,3.0,175.0,666.6666666666666
Sarjapur,2,1242.5,2.0,43.49,621.25
Tejaswini Nagar,3,1425.0,2.0,75.0,475.0
Electronic City,3,1500.0,2.0,64.5,500.0
Electronic City,2,1060.0,2.0,60.0,530.0
Jai Bheema Nagar,3,1470.0,2.0,70.0,490.0
Kothnur Narayanapura,6,1300.0,6.0,99.0,216.66666666666666
Attibele,1,450.0,1.0,11.0,450.0
Electronic City,2,1152.0,2.0,64.5,576.0
Electronic City,3,1350.0,2.0,56.0,450.0
CV Raman Nagar,3,1550.0,3.0,65.0,516.6666666666666
CHIKKATIRUPATHI,3,1500.0,3.0,100.0,500.0
Kumaraswami Layout,5,600.0,3.0,85.0,120.0
Nagavara,1,400.0,1.0,14.0,400.0
Malleshwaram,1,705.0,1.0,67.0,705.0
Electronic City,2,770.0,1.0,36.0,385.0
Hulimavu,2,1242.0,2.0,51.0,621.0
Hebbal Kempapura,3,1700.0,3.0,155.0,566.6666666666666
Thanisandra,3,2144.0,3.0,145.0,714.6666666666666
Vijayanagar,3,1704.0,3.0,110.0,568.0
Electronic City,2,1070.0,2.0,52.0,535.0
8th block Koramangala,3,1846.0,3.0,300.0,615.3333333333334
Jakkuru Layout,2,1340.0,2.0,55.7,670.0
Electronic City,2,1025.0,2.0,46.0,512.5
KR Puram,2,1277.5,2.0,56.8,638.75
Marathahalli,2,1200.0,2.0,52.0,600.0
Kanakpura Road,4,2250.0,4.0,110.0,562.5
Pattandur Agrahara,3,1550.0,2.0,80.0,516.6666666666666
Bellandur,4,1200.0,5.0,325.0,300.0
Ejipura,7,1800.0,7.0,250.0,257.14285714285717
Marathahalli,2,1200.0,2.0,60.0,600.0
Yelahanka,2,1327.0,2.0,98.0,663.5
Kothanur,2,1186.0,2.0,58.0,593.0
MS Pallya,3,1783.0,3.0,115.0,594.3333333333334
HSR Layout,3,1400.0,3.0,56.0,466.6666666666667
Nagasandra,2,980.0,2.0,48.0,490.0
EPIP Zone,2,1285.0,2.0,82.0,642.5
Langford Town,3,912.0,2.0,70.0,304.0
Whitefield,2,1225.0,2.0,47.6,612.5
Whitefield,2,1075.0,2.0,53.0,537.5
Kadugodi,3,1260.0,2.0,54.0,420.0
Yelahanka,3,1282.0,2.0,48.7,427.3333333333333
Kogilu,3,1909.0,3.0,88.0,636.3333333333334
Panathur,2,1359.0,2.0,87.0,679.5
Nagondanahalli,2,1207.0,2.0,43.5,603.5
Padmanabhanagar,4,1736.0,6.0,190.0,434.0
1st Block Jayanagar,4,2850.0,4.0,428.0,712.5
Kammasandra,3,1595.0,3.0,65.0,531.6666666666666
"Off Sarjapur Road, ",3,1798.0,3.0,89.0,599.3333333333334
Electronics City Phase 1,3,1475.0,3.0,78.29,491.6666666666667
Tala Cauvery Layout,3,1580.0,3.0,100.0,526.6666666666666
Dasarahalli,2,1295.0,2.0,65.0,647.5
Magadi Road,6,3600.0,6.0,141.0,600.0
Electronic City,1,589.0,1.0,27.0,589.0
Ngef Layout,3,1415.0,3.0,78.0,471.6666666666667
Sarjapur  Road,3,1787.0,3.0,98.29,595.6666666666666
Sarjapur  Road,3,1787.0,3.0,125.0,595.6666666666666
Koramangala,3,1475.0,2.0,90.0,491.6666666666667
"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4.0,75.5,500.0
Sarjapur  Road,2,984.0,2.0,44.28,492.0
Muthurayya Swamy Layout,3,2405.0,4.0,260.0,801.6666666666666
7th Phase JP Nagar,2,1080.0,2.0,72.0,540.0
Shantiniketan Layout,2,1500.0,2.0,115.0,750.0
Hebbal,3,1900.0,3.0,119.0,633.3333333333334
Dommasandra,2,805.0,2.0,22.14,402.5
Budigere,2,1153.0,2.0,56.4,576.5
Dodda Nekkundi Extension,2,1148.0,2.0,60.0,574.0
Mylasandra,2,1110.0,2.0,55.0,555.0
Electronic City,2,1100.0,2.0,42.0,550.0
Kalyan nagar,2,1290.0,2.0,110.0,645.0
Dr Shivarama Karantha Nagar,3,1500.0,2.0,65.0,500.0
Bank Of Baroda Colony,2,1080.0,2.0,39.0,540.0
Vijayanagar,3,1933.0,3.0,129.0,644.3333333333334
Ramamurthy Nagar,5,3500.0,5.0,150.0,700.0
Kullappa Colony,2,1060.0,2.0,60.0,530.0
Chandapura,1,645.0,1.0,16.45,645.0
Mukkutam Nagar,8,2600.0,8.0,180.0,325.0
Chandapura,1,645.0,1.0,16.45,645.0
Ashwath Nagar,3,1644.0,3.0,84.0,548.0
Ncpr Industrial Layout,2,1285.0,2.0,72.5,642.5
Electronic City,3,1200.0,3.0,90.0,400.0
Electronic City,2,910.0,2.0,40.0,455.0
Kothanur,3,1577.0,3.0,70.0,525.6666666666666
Meenakunte,3,4050.0,3.0,280.0,1350.0
OMBR Layout,3,2420.0,3.0,185.0,806.6666666666666
Chandapura,2,800.0,1.0,20.0,400.0
Anand Nagar,2,1060.0,2.0,55.0,530.0
7th Phase JP Nagar,2,1270.0,2.0,93.0,635.0
Shree Ananth Nagar Layout,2,900.0,2.0,22.5,450.0
Kundalahalli Colony,2,1280.0,2.0,69.0,640.0
Horamavu Agara,4,1200.0,2.0,95.0,300.0
Sarjapur  Road,2,1025.0,2.0,36.0,512.5
Electronic City,2,1108.0,2.0,63.0,554.0
MCECHS  layout,5,1200.0,5.0,170.0,240.0
Coffee Board Layout,3,3045.0,3.0,170.0,1015.0
Ambedkar Nagar,4,2900.0,3.0,300.0,725.0
Vijayanagar,3,1500.0,3.0,75.5,500.0
Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,647.5
Budigere,2,1162.0,2.0,59.9,581.0
Sarjapur  Road,2,1035.0,2.0,49.2,517.5
Attibele,4,1600.0,4.0,52.8,400.0
KUDLU MAIN ROAD,3,1464.0,3.0,46.0,488.0
Hennur Road,3,1866.0,2.0,61.58,622.0
Geleyara Balaga Layout,2,700.0,1.0,26.0,350.0
Kalena Agrahara,3,1804.0,3.0,120.0,601.3333333333334
Sarjapur,2,913.0,2.0,32.0,456.5
Talaghattapura,3,1868.0,3.0,131.0,622.6666666666666
Kengeri Satellite Town,2,883.0,2.0,45.0,441.5
Sundara Nagar,2,900.0,2.0,110.0,450.0
Kogilu,3,1664.0,2.0,73.95,554.6666666666666
Hegde Nagar,3,2026.0,3.0,132.0,675.3333333333334
Balagere,2,1210.0,2.0,80.9,605.0
Meenakunte,4,4111.0,4.0,250.0,1027.75
Kadugodi,3,1762.0,3.0,91.45,587.3333333333334
Jigani,3,1252.0,3.0,55.0,417.3333333333333
Gollarapalya Hosahalli,2,861.0,2.0,34.5,430.5
7th Phase JP Nagar,3,1420.0,2.0,100.0,473.3333333333333
Srirampura,6,1450.0,6.0,250.0,241.66666666666666
Electronics City Phase 1,3,1490.0,3.0,78.8,496.6666666666667
Bisuvanahalli,3,1075.0,2.0,46.0,358.3333333333333
Old Madras Road,3,1425.0,2.0,94.0,475.0
Kalena Agrahara,2,1200.0,2.0,40.0,600.0
Kaggadasapura,3,1280.0,2.0,56.0,426.6666666666667
Silver Springs Layout,2,1084.0,2.0,50.0,542.0
Chandapura,2,1015.0,2.0,25.88,507.5
Kanakpura Road,2,1017.0,2.0,51.25,508.5
Haralur Road,2,1027.0,2.0,44.0,513.5
Electronic City Phase II,2,1069.0,2.0,45.0,534.5
Hebbal,2,1349.0,2.0,98.2,674.5
9th Phase JP Nagar,2,1005.0,2.0,50.0,502.5
Jakkur,2,1417.0,2.0,75.0,708.5
TC Palaya,3,1475.0,3.0,98.0,491.6666666666667
Maruthi Sevanagar,2,950.0,2.0,47.0,475.0
RMV 2nd Stage,4,2000.0,4.0,120.0,500.0
Giri Nagar,3,880.0,3.0,140.0,293.3333333333333
Sarjapur  Road,4,1863.0,3.0,104.0,465.75
Singasandra,2,1010.0,2.0,29.5,505.0
Kalena Agrahara,3,1425.0,2.0,70.0,475.0
Vijayanagar,3,1450.0,3.0,100.0,483.3333333333333
Kothanur,3,1847.0,3.0,105.0,615.6666666666666
AECS Layout,2,1100.0,2.0,45.0,550.0
Kanakpura Road,1,525.0,1.0,26.0,525.0
Mallasandra,3,1665.0,3.0,95.0,555.0
Begur,4,1664.0,4.0,65.0,416.0
JP Nagar,3,1850.0,3.0,150.0,616.6666666666666
Panathur,2,1438.0,2.0,100.0,719.0
Sunder Ram Shetty Nagar,3,1560.0,3.0,115.0,520.0
Yelahanka,2,1350.0,2.0,55.55,675.0
Kanakpura Road,3,1550.0,3.0,67.0,516.6666666666666
Malleshpalya,2,1140.0,2.0,46.5,570.0
Srirampura,5,1200.0,5.0,180.0,240.0
Kodathi,2,850.0,2.0,27.0,425.0
Whitefield,2,1280.0,2.0,75.0,640.0
Munnekollal,2,1170.0,2.0,52.0,585.0
Motappa Layout,2,1113.0,2.0,51.0,556.5
Hennur Road,2,1385.0,2.0,83.09,692.5
Electronic City,2,1128.0,2.0,65.0,564.0
Marathahalli,2,1200.0,2.0,128.0,600.0
Akshaya Vana,4,1200.0,4.0,165.0,300.0
Rajaji Nagar,3,2390.0,3.0,415.0,796.6666666666666
Giri Nagar,4,2400.0,4.0,400.0,600.0
Haralur Road,3,1464.0,3.0,56.0,488.0
Manayata Tech Park,2,1200.0,2.0,55.0,600.0
Kaval Byrasandra,2,1200.0,2.0,52.0,600.0
Kaggalipura,3,1150.0,2.0,55.0,383.3333333333333
Basavanna Nagar,3,1645.0,3.0,95.0,548.3333333333334
Sarjapur  Road,2,1000.0,2.0,67.0,500.0
Haralur Road,4,2650.0,4.0,198.0,662.5
6th Phase JP Nagar,2,1192.0,2.0,74.0,596.0
Ulsoor,3,2135.0,3.0,215.0,711.6666666666666
Whitefield,2,1173.0,2.0,58.0,586.5
Uttarahalli,2,1020.0,2.0,45.0,510.0
Thigalarapalya,4,3122.0,6.0,230.0,780.5
Somasundara Palya,3,1600.0,3.0,64.0,533.3333333333334
T.C PALYA,2,1200.0,2.0,79.0,600.0
Muneshwara Nagar,2,1230.0,2.0,48.0,615.0
 Devarachikkanahalli,2,1250.0,2.0,40.0,625.0
Kalena Agrahara,2,1325.0,2.0,76.0,662.5
7th Phase JP Nagar,3,1850.0,3.0,150.0,616.6666666666666
Basaveshwara Nagar,2,1200.0,2.0,65.0,600.0
Bull Temple Road,3,1350.0,2.0,140.0,450.0
Bommasandra,3,1260.0,3.0,49.36,420.0
Prashanth Nagar,3,1800.0,3.0,150.0,600.0
Suragajakkanahalli,3,11.0,3.0,74.0,3.6666666666666665
Ardendale,2,1100.0,2.0,43.25,550.0
Harlur,2,1508.0,2.0,77.0,754.0
Sampigehalli,3,1592.0,3.0,75.0,530.6666666666666
Akshaya Nagar,2,1388.0,2.0,57.0,694.0
Electronic City Phase II,1,630.0,1.0,28.35,630.0
RMV,3,2000.0,3.0,365.0,666.6666666666666
Banashankari3rd stage bigbazar,3,1762.0,3.0,125.0,587.3333333333334
Bagalur Main Road,2,950.0,2.0,50.0,475.0
Kodihalli,4,3252.0,5.0,335.0,813.0
Magadi Road,2,1116.0,2.0,50.0,558.0
Narayanapura,2,1308.0,2.0,89.04,654.0
MS Pallya,3,1200.0,3.0,90.0,400.0
Binny Mills Employees Colony,4,1500.0,4.0,230.0,375.0
Bannerghatta Road,1,500.0,1.0,18.5,500.0
Hennur,2,1075.0,2.0,52.0,537.5
Chandapura,1,530.0,1.0,11.66,530.0
Bellandur,2,1205.0,2.0,66.0,602.5
5th Phase JP Nagar,2,1075.0,2.0,60.0,537.5
KR Puram,2,930.0,2.0,39.0,465.0
Balagere,2,1380.0,2.0,60.0,690.0
Hebbal,4,2483.0,5.0,212.0,620.75
Kodigehaali,2,1166.0,2.0,55.0,583.0
Bannerghatta Road,2,1050.0,2.0,65.0,525.0
Gopalapura,3,2023.71,3.0,275.0,674.57
Begur Road,2,1200.0,2.0,46.8,600.0
Lakshminarayana Pura,3,1600.0,2.0,108.0,533.3333333333334
Billekahalli,3,1935.0,3.0,110.0,645.0
8th Phase JP Nagar,1,451.0,1.0,29.9,451.0
Electronic City,3,1800.0,3.0,95.0,600.0
Jalahalli,3,1400.0,3.0,77.0,466.6666666666667
Hegde Nagar,3,1801.0,3.0,115.0,600.3333333333334
Mahadevpura,2,1451.0,2.0,90.0,725.5
Anekal,2,1200.0,1.0,36.0,600.0
Begur Road,2,1160.0,2.0,44.0,580.0
Kengeri,2,1000.0,2.0,25.0,500.0
Kanakpura Road,2,950.0,2.0,40.0,475.0
"Hoodi Circle, ",3,1629.0,3.0,79.0,543.0
Vijayanagar,3,1580.0,2.0,134.0,526.6666666666666
Vijayanagar,3,1826.0,3.0,121.0,608.6666666666666
7th Phase JP Nagar,2,1245.0,2.0,94.0,622.5
Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,572.5
Sompura,2,825.0,2.0,33.0,412.5
Yeshwanthpur,3,1693.0,3.0,108.0,564.3333333333334
Electronics City Phase 1,2,1113.27,2.0,53.0,556.635
Ashirvad Colony,2,1460.0,2.0,58.0,730.0
Doddathoguru,2,1050.0,2.0,32.0,525.0
Dodda Nekkundi,2,1260.0,2.0,55.0,630.0
K N Extension,6,700.0,3.0,120.0,116.66666666666667
Hosur Road,2,1656.0,2.0,120.0,828.0
Chandapura,3,1208.0,3.0,45.0,402.6666666666667
Whitefield,3,1910.0,3.0,161.0,636.6666666666666
Whitefield,4,3252.0,4.0,230.0,813.0
Battarahalli,2,1200.0,2.0,65.0,600.0
Gokula Extension,4,1200.0,4.0,175.0,300.0
7th Phase JP Nagar,2,1175.0,2.0,82.0,587.5
Kamakshipalya,2,1000.0,2.0,165.0,500.0
Bannerghatta Road,4,1200.0,2.0,125.0,300.0
Rajaji Nagar,3,2390.0,3.0,410.0,796.6666666666666
Rajaji Nagar,7,12000.0,6.0,2200.0,1714.2857142857142
Sultan Palaya,2,550.0,1.0,62.0,275.0
Sanne Amanikere,2,1185.0,2.0,38.0,592.5
Kengeri,2,750.0,2.0,38.0,375.0
Mahalakshmi Layout,6,1200.0,7.0,250.0,200.0
Kanakpura Road,3,1550.0,3.0,64.5,516.6666666666666
Amco Colony,3,1760.0,3.0,88.0,586.6666666666666
Billekahalli,2,1125.0,2.0,62.0,562.5
Nagarbhavi,3,1350.0,3.0,150.0,450.0
Anandapura,2,1000.0,2.0,55.0,500.0
Bommasandra Industrial Area,2,1090.0,2.0,31.48,545.0
TC Palaya,2,1200.0,2.0,60.0,600.0
Budigere,3,1991.0,4.0,103.0,663.6666666666666
Bommasandra,2,1060.0,2.0,26.5,530.0
Ambalipura,2,1105.0,2.0,75.0,552.5
Hoodi,2,985.0,2.0,67.0,492.5
Chandapura,6,1533.0,5.0,85.0,255.5
Balagere,3,1590.0,3.0,79.0,530.0
CV Raman Nagar,2,1120.0,2.0,55.0,560.0
Samethanahalli,2,1069.0,2.0,55.0,534.5
Marathahalli,3,1933.0,3.0,140.0,644.3333333333334
Hosur Road,2,1194.0,2.0,69.0,597.0
Brookefield,2,1150.0,2.0,69.0,575.0
Yelenahalli,2,1240.0,2.0,47.12,620.0
Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,709.5
7th Phase JP Nagar,8,1200.0,8.0,250.0,150.0
Richmond Town,3,2150.0,4.0,240.0,716.6666666666666
Suddaguntepalya,3,1450.0,3.0,55.0,483.3333333333333
Udayapur Village,3,1630.0,3.0,68.29,543.3333333333334
Dasanapura,2,708.0,1.0,40.0,354.0
Kasavanhalli,3,1000.0,4.0,110.0,333.3333333333333
Whitefield,4,11890.0,4.0,700.0,2972.5
Bellandur,2,1250.0,2.0,76.0,625.0
7th Phase JP Nagar,3,1400.0,2.0,95.0,466.6666666666667
Sarjapur  Road,3,1670.0,2.0,57.0,556.6666666666666
Ardendale,3,1750.0,3.0,100.0,583.3333333333334
Vittasandra,2,1404.0,2.0,71.0,702.0
Hoodi,3,1715.0,2.0,95.0,571.6666666666666
Electronic City,1,630.0,1.0,34.65,630.0
Harlur,3,1752.12,3.0,135.0,584.04
Hulimavu,3,1650.0,3.0,78.0,550.0
Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,647.5
Giri Nagar,3,1800.0,3.0,252.0,600.0
Sarjapur  Road,2,1346.0,2.0,74.03,673.0
Thippasandra,4,1200.0,4.0,200.0,300.0
Hormavu,2,1150.0,2.0,55.0,575.0
Chikkabidarakallu,4,3309.0,4.0,325.0,827.25
Chandapura,3,1190.0,2.0,30.35,396.6666666666667
AECS Layout,3,1620.0,3.0,98.0,540.0
Marathahalli,2,950.0,2.0,46.96,475.0
1 Giri Nagar,11,5000.0,9.0,360.0,454.54545454545456
Harlur,3,2450.0,3.0,120.0,816.6666666666666
Electronic City Phase II,3,1220.0,2.0,35.23,406.6666666666667
Hoysalanagar,2,850.0,2.0,30.0,425.0
Padmanabhanagar,2,1020.0,2.0,63.0,510.0
Chikkalasandra,2,1100.0,2.0,50.0,550.0
Defence Colony,2,1150.0,2.0,126.0,575.0
Hebbal,3,1760.0,2.0,130.0,586.6666666666666
Ambalipura,3,1800.0,3.0,110.0,600.0
Akshaya Nagar,2,1070.0,2.0,54.0,535.0
2nd Stage Nagarbhavi,4,1500.0,4.0,220.0,375.0
Vidyaranyapura,2,1440.0,2.0,95.0,720.0
Amruthahalli,2,900.0,2.0,40.0,450.0
ITI Employees Layout,4,1200.0,4.0,230.0,300.0
Whitefield,2,1130.0,2.0,42.16,565.0
Koramangala,2,1320.0,2.0,165.0,660.0
Kodigehalli,2,1270.0,2.0,98.0,635.0
Patelappa Layout,2,1200.0,2.0,62.0,600.0
Ring Road Nagarbhavi,4,4800.0,4.0,235.0,1200.0
NS Palya,2,1200.0,2.0,74.0,600.0
Subramanyapura,2,929.0,2.0,50.17,464.5
RMV 2nd Stage,4,1150.0,4.0,260.0,287.5
Basavangudi,4,1125.0,4.0,180.0,281.25
Kenchenahalli,5,500.0,3.0,65.0,100.0
3rd Block Hrbr Layout,5,1200.0,5.0,190.0,240.0
KUDLU MAIN ROAD,3,1464.0,3.0,56.0,488.0
7th Phase JP Nagar,4,3600.0,4.0,400.0,900.0
Bank Avenue,4,2000.0,4.0,99.0,500.0
Chikkalasandra,2,1208.0,2.0,49.0,604.0
Hebbal Kempapura,2,1130.0,2.0,60.0,565.0
Surabhi Layout,3,1753.0,3.0,120.0,584.3333333333334
Old Madras Road,5,4500.0,7.0,337.0,900.0
Banjara Layout,3,600.0,3.0,58.0,200.0
Hoodi,2,1196.0,2.0,94.42,598.0
5th Phase JP Nagar,2,1150.0,3.0,52.5,575.0
Electronic City,2,1128.0,2.0,63.0,564.0
